precinct,2009,2010,2011,2012,2013,total
120th Precinct ,4 ,3 ,4 ,5 ,12 ,28
122nd Precinct ,1 ,1 ,5 ,0 ,6 ,13
123rd Precinct ,0 ,0 ,0 ,0 ,2 ,2
Staten Island Total ,5 ,4 ,9 ,5 ,20 ,43
Percentage of Citywide Substantiated Complaints ,2.3% ,2.5% ,4.6% ,3.1% ,11.9% ,5.9%
