precinct,2009,2010,2011,2012,2013,total
40th Precinct ,183 ,145 ,103 ,165 ,154 ,750
41st Precinct ,118 ,122 ,120 ,102 ,83 ,545
42nd Precinct ,155 ,140 ,95 ,102 ,86 ,578
43rd Precinct ,149 ,132 ,145 ,114 ,94 ,634
44th Precinct ,225 ,246 ,215 ,196 ,137 ,1019
45th Precinct ,83 ,56 ,50 ,37 ,33 ,259
46th Precinct ,239 ,212 ,209 ,142 ,102 ,904
47th Precinct ,235 ,187 ,164 ,134 ,117 ,837
48th Precinct ,128 ,127 ,132 ,79 ,87 ,553
49th Precinct ,72 ,68 ,53 ,59 ,39 ,291
50th Precinct ,57 ,38 ,28 ,31 ,23 ,177
52nd Precinct ,196 ,143 ,142 ,94 ,116 ,691
Bronx Total ,1840 ,1616 ,1456 ,1255 ,1071 ,7238
