precinct,2009,2010,2011,2012,2013,total
1st Precinct ,1 ,1 ,1 ,2 ,2 ,7
5th Precinct ,0 ,4 ,1 ,1 ,0 ,6
6th Precinct ,1 ,1 ,0 ,0 ,0 ,2
7th Precinct ,2 ,1 ,1 ,0 ,4 ,8
9th Precinct ,2 ,3 ,0 ,4 ,5 ,14
10th Precinct ,0 ,2 ,1 ,1 ,3 ,7
13th Precinct ,3 ,0 ,0 ,1 ,4 ,8
Midtown South ,4 ,3 ,1 ,2 ,3 ,13
17th Precinct ,0 ,1 ,0 ,1 ,0 ,2
Midtown North ,3 ,0 ,2 ,1 ,3 ,9
Manhattan South Total ,16 ,16 ,7 ,13 ,24 ,76
