precinct,2009,2010,2011,2012,2013,total
100th Precinct ,1 ,2 ,0 ,0 ,0 ,3
101st Precinct ,4 ,1 ,4 ,2 ,2 ,13
102nd Precinct ,0 ,2 ,2 ,1 ,1 ,6
103nd Precinct ,7 ,1 ,5 ,4 ,4 ,21
105th Precinct ,1 ,3 ,1 ,0 ,6 ,11
106th Precinct ,1 ,3 ,0 ,3 ,3 ,10
107th Precinct ,3 ,0 ,2 ,0 ,2 ,7
113th Precinct ,3 ,4 ,1 ,6 ,9 ,23
Queens South Total ,20 ,16 ,15 ,16 ,27 ,94
