precinct,2009,2010,2011,2012,2013,total
60th Precinct ,122 ,76 ,83 ,81 ,71 ,433
61st Precinct ,79 ,63 ,45 ,52 ,46 ,285
62nd Precinct ,37 ,22 ,35 ,32 ,36 ,162
63rd Precinct ,46 ,62 ,46 ,61 ,47 ,262
66th Precinct ,36 ,28 ,21 ,16 ,25 ,126
67th Precinct ,201 ,140 ,109 ,114 ,108 ,672
68th Precinct ,38 ,34 ,37 ,37 ,30 ,176
69th Precinct ,82 ,48 ,52 ,53 ,55 ,290
70th Precinct ,160 ,141 ,124 ,114 ,104 ,643
71st Precinct ,110 ,103 ,93 ,102 ,89 ,497
72nd Precinct ,71 ,60 ,47 ,50 ,52 ,280
76th Precinct ,46 ,46 ,32 ,51 ,30 ,205
78th Precinct ,27 ,22 ,21 ,17 ,33 ,120
Brooklyn South Total ,1055 ,845 ,745 ,780 ,726 ,4151
