precinct,2009,2010,2011,2012,2013,total
120th Precinct ,220 ,182 ,149 ,177 ,124 ,852
121st Precinct ,0 ,0 ,0 ,0 ,38 ,38
122nd Precinct ,72 ,55 ,64 ,63 ,63 ,317
123rd Precinct ,24 ,24 ,16 ,17 ,12 ,93
Staten Island Total ,316 ,261 ,229 ,257 ,237 ,1300
Outside City/ Unidentified ,98 ,78 ,48 ,80 ,92 ,396
