precinct,2009,2010,2011,2012,2013,total
1st Precinct ,60 ,56 ,76 ,73 ,40 ,305
5th Precinct ,62 ,46 ,40 ,43 ,53 ,244
6th Precinct ,73 ,53 ,71 ,63 ,55 ,315
7th Precinct ,79 ,52 ,53 ,54 ,41 ,279
9th Precinct ,76 ,60 ,51 ,67 ,70 ,324
10th Precinct ,64 ,51 ,44 ,34 ,43 ,236
13th Precinct ,67 ,54 ,51 ,62 ,60 ,294
Midtown South ,142 ,123 ,97 ,90 ,99 ,551
17th Precinct ,33 ,22 ,46 ,42 ,41 ,184
Midtown North ,93 ,70 ,67 ,77 ,82 ,389
Manhattan South Total ,749 ,587 ,596 ,605 ,584 , 3121
