precinct,2009,2010,2011,2012,2013,total
104th Precinct ,2 ,3 ,1 ,4 ,0 ,10
108th Precinct ,1 ,0 ,1 ,0 ,2 ,4
109th Precinct ,3 ,1 ,1 ,1 ,3 ,9
110th Precinct ,1 ,4 ,3 ,0 ,2 ,10
111th Precinct ,0 ,0 ,0 ,0 ,1 ,1
112th Precinct ,3 ,1 ,0 ,0 ,2 ,6
114th Precinct ,2 ,2 ,1 ,0 ,4 ,9
115th Precinct ,1 ,1 ,2 ,0 ,3 ,7
Queens North Total ,13 ,12 ,9 ,5 ,17 ,39
Queens Total ,33 ,28 ,24 ,21 ,44 ,133
Percentage of Citywide Substantiated Complaints ,15.3% ,17.4% ,12.2% ,13.1% ,26.2% ,18.1%
