precinct,2009,2010,2011,2012,2013,total
73rd Precinct ,7 ,13 ,7 ,9 ,13 ,49
75th Precinct ,3 ,10 ,8 ,9 ,22 ,52
77th Precinct ,2 ,9 ,2 ,3 ,5 ,21
79th Precinct ,6 ,10 ,7 ,5 ,5 ,33
81st Precinct ,0 ,3 ,6 ,3 ,5 ,17
83rd Precinct ,1 ,3 ,1 ,2 ,7 ,14
84th Precinct ,0 ,4 ,0 ,1 ,1 ,6
88th Precinct ,0 ,3 ,3 ,0 ,1 ,7
90th Precinct ,3 ,3 ,1 ,0 ,2 ,9
94th Precinct ,0 ,3 ,1 ,0 ,2 ,6
Brooklyn North Total ,22 ,61 ,36 ,32 ,63 ,214
Brooklyn Total ,49 ,90 ,49 ,55 ,106 ,349
Percentage of Citywide Substantiated Complaints ,22.7% ,55.9% ,24.9% ,34.4% ,63.1% ,47.5%
