precinct,2009,2010,2011,2012,2013,total
104th Precinct ,59 ,39 ,51 ,49 ,50 ,248
108th Precinct ,44 ,21 ,21 ,35 ,22 ,143
109th Precinct ,59 ,36 ,54 ,46 ,48 ,243
110th Precinct ,63 ,60 ,56 ,38 ,52 ,269
111th Precinct ,27 ,18 ,21 ,22 ,18 ,106
112th Precinct ,22 ,26 ,26 ,23 ,27 ,124
114th Precinct ,83 ,77 ,63 ,81 ,84 ,388
115th Precinct ,91 ,69 ,73 ,55 ,64 ,352
Queens North Total ,448 ,346 ,365 ,349 ,365 ,1873
Queens Total ,1039 ,931 ,911 ,894 ,923 ,4698
