precinct,2009,2010,2011,2012,2013,total
100th Precinct ,39 ,26 ,35 ,32 ,28 ,160
101st Precinct ,77 ,108 ,85 ,91 ,75 ,436
102nd Precinct ,44 ,47 ,48 ,51 ,56 ,246
103rd Precinct ,106 ,113 ,108 ,98 ,123 ,548
105th Precinct ,90 ,90 ,71 ,73 ,75 ,399
106th Precinct ,73 ,61 ,61 ,64 ,46 ,305
107th Precinct ,55 ,42 ,36 ,36 ,45 ,214
113th Precinct ,107 ,98 ,102 ,100 ,110 ,517
Queens South Total ,591 ,585 ,546 ,545 ,558 ,2825
