precinct,2009,2010,2011,2012,2013,total
60th Precinct ,2 ,2 ,0 ,4 ,6 ,14
61st Precinct ,0 ,3 ,0 ,0 ,0 ,3
62nd Precinct ,2 ,1 ,0 ,0 ,2 ,5
63rd Precinct ,2 ,1 ,1 ,3 ,2 ,9
66th Precinct ,1 ,0 ,0 ,0 ,2 ,3
67th Precinct ,3 ,10 ,2 ,4 ,9 ,28
68th Precinct ,2 ,2 ,0 ,2 ,1 ,7
69th Precinct ,3 ,1 ,2 ,2 ,3 ,11
70th Precinct ,4 ,3 ,3 ,2 ,5 ,17
71st Precinct ,6 ,3 ,2 ,5 ,6 ,22
72nd Precinct ,1 ,1 ,2 ,1 ,2 ,7
76th Precinct ,1 ,2 ,0 ,0 ,5 ,8
78th Precinct ,0 ,0 ,1 ,0 ,0 ,1
Brooklyn South Total ,27 ,29 ,13 ,23 ,43 ,135
